DESCRIPTION__C,ID,NAME,TITLE__C,WALTERB2BSTORE_SUSTAINABILITY_HEADINGS__R.NAME,WALTERB2BSTORE_SUSTAINABILITY_HEADINGS__C
"We are committed to preventing employee injury by actively tracking and analyzing incidents with the goal of preventing them completely. We track data such as number of injuries, frequency rate, impact on efficiency, and more, in order to deliver the safest environment. Maximizing safety has been a priority for WALTER for many years and we are constantly upholding and enhancing our very thorough and long-standing employee safety trainings.",a31O40000004Qf3IAE,ENSURING THE HEALTH AND SAFETY OF OUR EMPLOYEES,ENSURING THE HEALTH AND SAFETY OF OUR EMPLOYEES,S O C I A L,a2cO900001J9iwJIAR
"Not only do we focus on our employees’ safety but also that of our clients. We regularly improve our existing products as well as design new ones based on customer feedback and data on productivity and safety as well as based on NSF/CFIA approval requirements. This enables us to attract customers and meet their needs by embodying a sustainable mindset that meets their values. We also aim to innovate with the goal of offering highly effective solutions with less toxic or harmful chemicals, like our VOC-free cleaners. Moreover, WALTER has delivered free Safety Seminars to clients since 1987. The trainings are designed to inform clients on proper product use and handing and have reached well over 60,000 metalworkers since their inception. We will continue to help welding instructors by partnering with welding trade schools to support future welders by offering the right tools, training, scholarships & resources.",a31O40000004QgfIAE,CUSTOMER SAFETY,CUSTOMER SAFETY,S O C I A L,a2cO900001J9iwJIAR
"WALTER is breaking the glass ceiling with the goal of reaching parity in senior leadership. Through its advertising, social media initiatives, and literature, WALTER is also looking to give more visibility to women in welding and metalworking roles, encouraging women in the field.",a31O40000004QiHIAU,SUPPORTING WOMEN,SUPPORTING WOMEN,S O C I A L,a2cO900001J9iwJIAR
"We have many governance initiatives in place, such as our code of conduct and anti-bribery and corruption policy, which guide our culture of honesty, integrity, and accountability. We also ensure our employees commit to, represent, and embody our company values by ensuring they align with our many initiatives, goals, and procedures through trainings.",a31O40000004QjtIAE,BUSINESS ETHICS,BUSINESS ETHICS,G O V E R N A N C E,a2cO900001J9iwKIAR
"WALTER will align itself with SASB standards, a well-established standard approach and methodology, to track and report on ESG risks and opportunities, and measure efficiencies. By addressing our ESG priorities we are mitigating risks for our investors, delivering profit responsively, and ensuring a more sustainable long-term strategy. WALTER Surface Technologies has been on the road towards sustainability for decades and has earned prestigious international awards throughout the years, including: The American Eagle Award, the Environmental Choice Program “Eco-Logo”, CleanTech’s Cleaning Technology Award, the Deutscher Material Effizienz Preiz, the NRW Effizienz Preiz and recognition by The Wall Street Journal’s Technology Innovation Awards, among many others.",a31O40000004QlVIAU,A P P R O A C H,,A P P R O A C H,a2cO900001J9iwLIAR
"We work to deliver sustainable products that meet customer needs and goals with the least amount of impact on the environment such as through low-VOC or VOC-free chemicals. Through our partnerships with distributors, we strive to provide them with the tools to capture both new and crossover opportunities with end users looking for greener solutions. We also looking to minimize packaging, make it reusable or find recyclable alternatives to reduce waste.",a31O40000004TUrIAM,PRODUCT DESIGN,PRODUCT DESIGN,E N V I R O N M E N T,a2cO900001J9iwIIAR
"We strive to reduce the amount of waste created during the manufacturing process. We ensure we minimize the use of hazardous materials by recycling resources and allocating them efficiently. For example, more than 80% of boxes received from our suppliers are re-used for shipments to customers.",a31O40000004TbJIAU,MANUFACTURING WASTE,MANUFACTURING WASTE,E N V I R O N M E N T,a2cO900001J9iwIIAR
"We are initiating the collection of data on our SCOPE 1, 2 & 3 emissions with the goal of developing and implementing initiatives that help us move towards decarbonization and the reduction of GHG emissions. We will focus on larger impact operations first, like for example, consolidating our inbound and outbound shipments to deliver products responsibly, reduce costs, and help our customers meet their emission reduction goals.",a31O40000004TcvIAE,REDUCING GHG EMISSIONS,REDUCING GHG EMISSIONS,E N V I R O N M E N T,a2cO900001J9iwIIAR
"We are committed to preventing employee injury by actively tracking and analyzing incidents with the goal of preventing them completely. We track data such as number of injuries, frequency rate, impact on efficiency, and more, in order to deliver the safest environment. Maximizing safety has been a priority for WALTER for many years and we are constantly upholding and enhancing our very thorough and long-standing employee safety trainings.",a31O40000004TjNIAU,ENSURING THE HEALTH AND SAFETY OF OUR EMPLOYEES,ENSURING THE HEALTH AND SAFETY OF OUR EMPLOYEES,S O C I A L,a2cO900001J9iwJIAR
"Not only do we focus on our employees’ safety but also that of our clients. We regularly improve our existing products as well as design new ones based on customer feedback and data on productivity and safety as well as based on NSF/CFIA approval requirements. This enables us to attract customers and meet their needs by embodying a sustainable mindset that meets their values. We also aim to innovate with the goal of offering highly effective solutions with less toxic or harmful chemicals, like our VOC-free cleaners. Moreover, WALTER has delivered free Safety Seminars to clients since 1987. The trainings are designed to inform clients on proper product use and handing and have reached well over 60,000 metalworkers since their inception. We will continue to help welding instructors by partnering with welding trade schools to support future welders by offering the right tools, training, scholarships & resources.",a31O40000004TkzIAE,CUSTOMER SAFETY,CUSTOMER SAFETY,S O C I A L,a2cO900001J9iwJIAR
